method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_hint,600,0.02,45,20,36,-1,17.502,5.25,12.245,True
incr_repair,600,0.02,45,20,36,5,2.984,0.0,0.0,True
cpsat_rebuild,600,0.02,45,21,42,-1,16.477,4.24,12.228,True
cpsat_hint,600,0.02,45,21,42,-1,18.025,5.882,12.134,True
incr_repair,600,0.02,45,21,42,4,4.757,0.0,0.0,True
cpsat_rebuild,600,0.02,45,22,37,-1,16.677,4.18,12.49,True
cpsat_hint,600,0.02,45,22,37,-1,17.62,5.587,12.025,True
incr_repair,600,0.02,45,22,37,7,3.813,0.0,0.0,True
cpsat_rebuild,600,0.02,45,23,41,-1,16.63,4.366,12.255,True
cpsat_hint,600,0.02,45,23,41,-1,17.664,5.553,12.102,True
incr_repair,600,0.02,45,23,41,3,2.666,0.0,0.0,True
cpsat_rebuild,600,0.02,45,24,38,-1,16.358,4.192,12.159,True
cpsat_hint,600,0.02,45,24,38,-1,17.9,5.609,12.283,True
incr_repair,600,0.02,45,24,38,5,3.284,0.0,0.0,True
cpsat_rebuild,600,0.02,45,25,38,-1,16.445,4.165,12.271,True
cpsat_hint,600,0.02,45,25,38,-1,17.613,5.752,11.851,True
incr_repair,600,0.02,45,25,38,6,3.052,0.0,0.0,True
cpsat_rebuild,600,0.02,45,26,36,-1,16.142,4.38,11.752,True
cpsat_hint,600,0.02,45,26,36,-1,17.295,5.657,11.628,True
incr_repair,600,0.02,45,26,36,3,2.636,0.0,0.0,True
cpsat_rebuild,600,0.02,45,27,42,-1,16.685,4.147,12.53,True
cpsat_hint,600,0.02,45,27,42,-1,17.95,5.295,12.647,True
incr_repair,600,0.02,45,27,42,3,3.836,0.0,0.0,True
cpsat_rebuild,600,0.02,45,28,37,-1,16.492,4.374,12.108,True
cpsat_hint,600,0.02,45,28,37,-1,17.669,5.788,11.872,True
incr_repair,600,0.02,45,28,37,4,8.22,0.0,0.0,True
cpsat_rebuild,600,0.02,45,29,32,-1,16.256,4.122,12.125,True
cpsat_hint,600,0.02,45,29,32,-1,17.164,5.245,11.91,True
incr_repair,600,0.02,45,29,32,3,8.8,0.0,0.0,True
cpsat_rebuild,600,0.02,45,30,42,-1,16.652,4.096,12.544,True
cpsat_hint,600,0.02,45,30,42,-1,17.074,5.251,11.814,True
incr_repair,600,0.02,45,30,42,6,3.945,0.0,0.0,True
cpsat_rebuild,600,0.02,46,1,37,-1,19.874,4.472,15.392,True
cpsat_hint,600,0.02,46,1,37,-1,20.721,5.546,15.165,True
incr_repair,600,0.02,46,1,37,1,2.444,0.0,0.0,True
cpsat_rebuild,600,0.02,46,2,33,-1,20.761,4.392,16.361,True
cpsat_hint,600,0.02,46,2,33,-1,22.711,5.996,16.706,True
incr_repair,600,0.02,46,2,33,4,2.929,0.0,0.0,True
cpsat_rebuild,600,0.02,46,3,38,-1,22.537,4.442,18.087,True
cpsat_hint,600,0.02,46,3,38,-1,23.7,5.739,17.949,True
incr_repair,600,0.02,46,3,38,6,4.608,0.0,0.0,True
cpsat_rebuild,600,0.02,46,4,36,-1,21.041,4.427,16.606,True
cpsat_hint,600,0.02,46,4,36,-1,22.632,5.934,16.686,True
incr_repair,600,0.02,46,4,36,5,3.954,0.0,0.0,True
cpsat_rebuild,600,0.02,46,5,36,-1,21.5,4.292,17.2,True
cpsat_hint,600,0.02,46,5,36,-1,22.613,5.615,16.987,True
incr_repair,600,0.02,46,5,36,2,3.028,0.0,0.0,True
cpsat_rebuild,600,0.02,46,6,31,-1,21.229,4.309,16.912,True
