method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_rebuild,300,0.02,42,13,12,-1,6.664,True
cpsat_hint,300,0.02,42,13,12,-1,7.153,True
incr_repair,300,0.02,42,13,12,1,1.265,True
cpsat_rebuild,300,0.02,42,14,12,-1,9.627,True
cpsat_hint,300,0.02,42,14,12,-1,7.341,True
incr_repair,300,0.02,42,14,12,0,0.159,True
cpsat_rebuild,300,0.02,42,15,12,-1,9.225,True
cpsat_hint,300,0.02,42,15,12,-1,6.903,True
incr_repair,300,0.02,42,15,12,0,0.156,True
cpsat_rebuild,300,0.02,42,16,12,-1,9.215,True
cpsat_hint,300,0.02,42,16,12,-1,6.863,True
incr_repair,300,0.02,42,16,12,0,0.155,True
cpsat_rebuild,300,0.02,42,17,12,-1,9.236,True
cpsat_hint,300,0.02,42,17,12,-1,6.775,True
incr_repair,300,0.02,42,17,12,1,3.332,True
cpsat_rebuild,300,0.02,42,18,12,-1,7.156,True
cpsat_hint,300,0.02,42,18,12,-1,8.25,True
incr_repair,300,0.02,42,18,12,1,2.497,True
cpsat_rebuild,300,0.02,42,19,12,-1,6.134,True
cpsat_hint,300,0.02,42,19,12,-1,9.439,True
incr_repair,300,0.02,42,19,12,2,1.382,True
cpsat_rebuild,300,0.02,42,20,12,-1,6.133,True
cpsat_hint,300,0.02,42,20,12,-1,9.761,True
incr_repair,300,0.02,42,20,12,1,1.675,True
cpsat_rebuild,300,0.02,42,21,12,-1,6.13,True
cpsat_hint,300,0.02,42,21,12,-1,8.424,True
incr_repair,300,0.02,42,21,12,3,5.389,True
cpsat_rebuild,300,0.02,42,22,12,-1,5.897,True
cpsat_hint,300,0.02,42,22,12,-1,6.212,True
incr_repair,300,0.02,42,22,12,1,1.343,True
cpsat_rebuild,300,0.02,42,23,12,-1,5.793,True
cpsat_hint,300,0.02,42,23,12,-1,7.336,True
incr_repair,300,0.02,42,23,12,2,1.381,True
cpsat_rebuild,300,0.02,42,24,12,-1,5.845,True
cpsat_hint,300,0.02,42,24,12,-1,7.55,True
incr_repair,300,0.02,42,24,12,1,1.275,True
cpsat_rebuild,300,0.02,42,25,12,-1,7.492,True
cpsat_hint,300,0.02,42,25,12,-1,6.412,True
incr_repair,300,0.02,42,25,12,0,0.155,True
cpsat_rebuild,300,0.02,42,26,12,-1,7.682,True
cpsat_hint,300,0.02,42,26,12,-1,6.399,True
incr_repair,300,0.02,42,26,12,0,0.163,True
cpsat_rebuild,300,0.02,42,27,12,-1,7.588,True
cpsat_hint,300,0.02,42,27,12,-1,6.526,True
incr_repair,300,0.02,42,27,12,2,1.345,True
cpsat_rebuild,300,0.02,42,28,12,-1,9.347,True
cpsat_hint,300,0.02,42,28,12,-1,6.547,True
incr_repair,300,0.02,42,28,12,0,0.158,True
cpsat_rebuild,300,0.02,42,29,12,-1,8.227,True
cpsat_hint,300,0.02,42,29,12,-1,6.651,True
incr_repair,300,0.02,42,29,12,0,0.158,True
cpsat_rebuild,300,0.02,42,30,12,-1,7.669,True
cpsat_hint,300,0.02,42,30,12,-1,6.686,True
incr_repair,300,0.02,42,30,12,1,1.277,True
cpsat_rebuild,300,0.02,43,1,12,-1,12.375,True
cpsat_hint,300,0.02,43,1,12,-1,11.422,True
incr_repair,300,0.02,43,1,12,0,0.162,True
cpsat_rebuild,300,0.02,43,2,12,-1,9.257,True
cpsat_hint,300,0.02,43,2,12,-1,9.666,True
incr_repair,300,0.02,43,2,12,2,1.838,True
cpsat_rebuild,300,0.02,43,3,12,-1,9.361,True
cpsat_hint,300,0.02,43,3,12,-1,9.925,True
incr_repair,300,0.02,43,3,12,4,2.1,True
cpsat_rebuild,300,0.02,43,4,12,-1,8.928,True
cpsat_hint,300,0.02,43,4,12,-1,9.367,True
incr_repair,300,0.02,43,4,12,2,1.422,True
cpsat_rebuild,300,0.02,43,5,12,-1,8.825,True
cpsat_hint,300,0.02,43,5,12,-1,13.025,True
incr_repair,300,0.02,43,5,12,2,1.463,True
cpsat_rebuild,300,0.02,43,6,12,-1,11.946,True
cpsat_hint,300,0.02,43,6,12,-1,12.14,True
incr_repair,300,0.02,43,6,12,1,3.052,True
cpsat_rebuild,300,0.02,43,7,12,-1,10.205,True
cpsat_hint,300,0.02,43,7,12,-1,9.014,True
incr_repair,300,0.02,43,7,12,1,1.234,True
cpsat_rebuild,300,0.02,43,8,12,-1,12.096,True
cpsat_hint,300,0.02,43,8,12,-1,13.335,True
incr_repair,300,0.02,43,8,12,1,1.288,True
cpsat_rebuild,300,0.02,43,9,12,-1,11.618,True
cpsat_hint,300,0.02,43,9,12,-1,9.227,True
incr_repair,300,0.02,43,9,12,0,0.173,True
cpsat_rebuild,300,0.02,43,10,12,-1,11.857,True
cpsat_hint,300,0.02,43,10,12,-1,11.9,True
incr_repair,300,0.02,43,10,12,2,1.473,True
cpsat_rebuild,300,0.02,43,11,12,-1,10.817,True
cpsat_hint,300,0.02,43,11,12,-1,9.17,True
incr_repair,300,0.02,43,11,12,2,1.295,True
cpsat_rebuild,300,0.02,43,12,12,-1,11.642,True
cpsat_hint,300,0.02,43,12,12,-1,11.787,True
incr_repair,300,0.02,43,12,12,1,1.555,True
cpsat_rebuild,300,0.02,43,13,12,-1,8.368,True
cpsat_hint,300,0.02,43,13,12,-1,10.099,True
incr_repair,300,0.02,43,13,12,2,1.534,True
cpsat_rebuild,300,0.02,43,14,12,-1,12.313,True
cpsat_hint,300,0.02,43,14,12,-1,12.222,True
incr_repair,300,0.02,43,14,12,2,1.826,True
cpsat_rebuild,300,0.02,43,15,12,-1,9.81,True
cpsat_hint,300,0.02,43,15,12,-1,8.616,True
incr_repair,300,0.02,43,15,12,1,1.211,True
cpsat_rebuild,300,0.02,43,16,12,-1,11.898,True
