method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,verified
cpsat_hint,300,0.1,43,1,60,-1,9.262,True
incr_repair,300,0.1,43,1,60,6,2.559,True
cpsat_rebuild,300,0.1,43,2,60,-1,9.354,True
cpsat_hint,300,0.1,43,2,60,-1,9.947,True
incr_repair,300,0.1,43,2,60,10,8.009,True
cpsat_rebuild,300,0.1,43,3,60,-1,8.139,True
cpsat_hint,300,0.1,43,3,60,-1,8.906,True
incr_repair,300,0.1,43,3,60,7,2.186,True
cpsat_rebuild,300,0.1,43,4,60,-1,7.732,True
cpsat_hint,300,0.1,43,4,60,-1,7.863,True
incr_repair,300,0.1,43,4,60,4,3.926,True
cpsat_rebuild,300,0.1,43,5,60,-1,7.976,True
cpsat_hint,300,0.1,43,5,60,-1,7.997,True
incr_repair,300,0.1,43,5,60,5,1.833,True
cpsat_rebuild,300,0.1,43,6,60,-1,7.257,True
cpsat_hint,300,0.1,43,6,60,-1,7.659,True
incr_repair,300,0.1,43,6,60,6,1.922,True
cpsat_rebuild,300,0.1,43,7,60,-1,6.581,True
cpsat_hint,300,0.1,43,7,60,-1,6.953,True
incr_repair,300,0.1,43,7,60,7,3.595,True
cpsat_rebuild,300,0.1,43,8,60,-1,6.086,True
cpsat_hint,300,0.1,43,8,60,-1,6.652,True
incr_repair,300,0.1,43,8,60,4,2.252,True
cpsat_rebuild,300,0.1,43,9,60,-1,4.842,True
cpsat_hint,300,0.1,43,9,60,-1,5.523,True
incr_repair,300,0.1,43,9,60,2,2.105,True
cpsat_rebuild,300,0.1,43,10,60,-1,4.972,True
cpsat_hint,300,0.1,43,10,60,-1,5.468,True
incr_repair,300,0.1,43,10,60,7,10.807,True
cpsat_rebuild,300,0.1,43,11,60,-1,4.712,True
cpsat_hint,300,0.1,43,11,60,-1,5.165,True
incr_repair,300,0.1,43,11,60,1,1.325,True
cpsat_rebuild,300,0.1,43,12,60,-1,4.472,True
cpsat_hint,300,0.1,43,12,60,-1,4.914,True
incr_repair,300,0.1,43,12,60,2,1.25,True
cpsat_rebuild,300,0.1,43,13,60,-1,5.053,True
cpsat_hint,300,0.1,43,13,60,-1,5.266,True
incr_repair,300,0.1,43,13,60,3,1.244,True
cpsat_rebuild,300,0.1,43,14,60,-1,4.535,True
cpsat_hint,300,0.1,43,14,60,-1,5.63,True
incr_repair,300,0.1,43,14,60,2,1.738,True
cpsat_rebuild,300,0.1,43,15,60,-1,4.998,True
cpsat_hint,300,0.1,43,15,60,-1,5.663,True
incr_repair,300,0.1,43,15,60,4,1.912,True
cpsat_rebuild,300,0.1,43,16,60,-1,4.857,True
cpsat_hint,300,0.1,43,16,60,-1,5.447,True
incr_repair,300,0.1,43,16,60,1,1.437,True
cpsat_rebuild,300,0.1,43,17,60,-1,5.431,True
cpsat_hint,300,0.1,43,17,60,-1,6.105,True
incr_repair,300,0.1,43,17,60,1,1.517,True
cpsat_rebuild,300,0.1,43,18,60,-1,5.064,True
cpsat_hint,300,0.1,43,18,60,-1,5.511,True
incr_repair,300,0.1,43,18,60,0,0.154,True
cpsat_rebuild,300,0.1,43,19,60,-1,4.785,True
cpsat_hint,300,0.1,43,19,60,-1,5.478,True
incr_repair,300,0.1,43,19,60,0,0.161,True
cpsat_rebuild,300,0.1,43,20,60,-1,4.211,True
cpsat_hint,300,0.1,43,20,60,-1,4.783,True
incr_repair,300,0.1,43,20,60,0,0.17,True
cpsat_rebuild,300,0.1,43,21,60,-1,4.503,True
cpsat_hint,300,0.1,43,21,60,-1,5.003,True
incr_repair,300,0.1,43,21,60,2,1.454,True
cpsat_rebuild,300,0.1,43,22,60,-1,4.3,True
cpsat_hint,300,0.1,43,22,60,-1,4.856,True
incr_repair,300,0.1,43,22,60,1,1.233,True
cpsat_rebuild,300,0.1,43,23,60,-1,4.292,True
cpsat_hint,300,0.1,43,23,60,-1,4.882,True
incr_repair,300,0.1,43,23,60,0,0.177,True
cpsat_rebuild,300,0.1,43,24,60,-1,4.432,True
cpsat_hint,300,0.1,43,24,60,-1,4.882,True
incr_repair,300,0.1,43,24,60,2,1.341,True
cpsat_rebuild,300,0.1,43,25,60,-1,4.634,True
cpsat_hint,300,0.1,43,25,60,-1,4.948,True
incr_repair,300,0.1,43,25,60,2,1.279,True
cpsat_rebuild,300,0.1,43,26,60,-1,4.817,True
cpsat_hint,300,0.1,43,26,60,-1,5.581,True
incr_repair,300,0.1,43,26,60,0,0.162,True
cpsat_rebuild,300,0.1,43,27,60,-1,4.775,True
cpsat_hint,300,0.1,43,27,60,-1,5.166,True
incr_repair,300,0.1,43,27,60,2,1.602,True
cpsat_rebuild,300,0.1,43,28,60,-1,4.274,True
cpsat_hint,300,0.1,43,28,60,-1,4.84,True
incr_repair,300,0.1,43,28,60,1,1.193,True
cpsat_rebuild,300,0.1,43,29,60,-1,4.395,True
cpsat_hint,300,0.1,43,29,60,-1,4.851,True
incr_repair,300,0.1,43,29,60,1,1.185,True
cpsat_rebuild,300,0.1,43,30,60,-1,4.179,True
cpsat_hint,300,0.1,43,30,60,-1,4.872,True
incr_repair,300,0.1,43,30,60,0,0.166,True
cpsat_rebuild,300,0.1,44,1,60,-1,8.85,True
cpsat_hint,300,0.1,44,1,60,-1,9.304,True
incr_repair,300,0.1,44,1,60,11,7.735,True
cpsat_rebuild,300,0.1,44,2,60,-1,8.817,True
cpsat_hint,300,0.1,44,2,60,-1,9.065,True
incr_repair,300,0.1,44,2,60,6,1.933,True
cpsat_rebuild,300,0.1,44,3,60,-1,7.697,True
cpsat_hint,300,0.1,44,3,60,-1,8.088,True
incr_repair,300,0.1,44,3,60,12,6.685,True
cpsat_rebuild,300,0.1,44,4,60,-1,7.358,True
cpsat_hint,300,0.1,44,4,60,-1,7.914,True
incr_repair,300,0.1,44,4,60,6,3.346,True
cpsat_rebuild,300,0.1,44,5,60,-1,7.357,True
cpsat_hint,300,0.1,44,5,60,-1,7.643,True
incr_repair,300,0.1,44,5,60,1,1.296,True
cpsat_rebuild,300,0.1,44,6,60,-1,6.144,True
cpsat_hint,300,0.1,44,6,60,-1,6.684,True
incr_repair,300,0.1,44,6,60,8,5.962,True
cpsat_rebuild,300,0.1,44,7,60,-1,7.037,True
cpsat_hint,300,0.1,44,7,60,-1,7.418,True
incr_repair,300,0.1,44,7,60,2,1.455,True
cpsat_rebuild,300,0.1,44,8,60,-1,7.697,True
cpsat_hint,300,0.1,44,8,60,-1,7.92,True
incr_repair,300,0.1,44,8,60,1,1.322,True
