suite,instance,seed,num_variables,domain_size,density,strategy,success,status,initial_core_size,final_core_size,expansions,total_time_ns,full_scope_required
structural,d4_c24,49,24,4,1.0,fullscope,True,optimal,24,24,0,4536500,True
structural,d4_c24,50,24,4,1.0,radius1,True,optimal,10,10,0,827300,False
structural,d4_c24,50,24,4,1.0,explanation,True,optimal,5,5,0,609100,False
structural,d4_c24,50,24,4,1.0,fullscope,True,optimal,24,24,0,4156100,True
structural,d4_c24,51,24,4,1.0,radius1,True,optimal,12,12,0,928100,False
structural,d4_c24,51,24,4,1.0,explanation,True,optimal,6,6,0,622300,False
structural,d4_c24,51,24,4,1.0,fullscope,True,optimal,24,24,0,3921200,True
structural,d4_c36,42,24,4,1.5,radius1,True,optimal,19,19,0,1302400,False
structural,d4_c36,42,24,4,1.5,explanation,True,optimal,8,8,0,913100,False
structural,d4_c36,42,24,4,1.5,fullscope,True,optimal,24,24,0,2786000,True
structural,d4_c36,43,24,4,1.5,radius1,True,optimal,15,15,0,1121500,False
structural,d4_c36,43,24,4,1.5,explanation,True,optimal,7,7,0,782600,False
structural,d4_c36,43,24,4,1.5,fullscope,True,optimal,24,24,0,1903000,True
structural,d4_c36,44,24,4,1.5,radius1,True,optimal,18,18,0,1315400,False
structural,d4_c36,44,24,4,1.5,explanation,True,optimal,9,9,0,952600,False
structural,d4_c36,44,24,4,1.5,fullscope,True,optimal,24,24,0,1572800,True
structural,d4_c36,45,24,4,1.5,radius1,True,optimal,19,19,0,1173500,False
structural,d4_c36,45,24,4,1.5,explanation,True,optimal,10,10,0,917100,False
structural,d4_c36,45,24,4,1.5,fullscope,True,optimal,24,24,0,1543200,True
structural,d4_c36,46,24,4,1.5,radius1,True,optimal,20,20,0,1146100,False
structural,d4_c36,46,24,4,1.5,explanation,True,optimal,8,8,0,964600,False
structural,d4_c36,46,24,4,1.5,fullscope,True,optimal,24,24,0,1350700,True
structural,d4_c36,47,24,4,1.5,radius1,True,optimal,13,13,0,1123800,False
structural,d4_c36,47,24,4,1.5,explanation,True,optimal,6,6,0,721200,False
structural,d4_c36,47,24,4,1.5,fullscope,True,optimal,24,24,0,2096600,True
structural,d4_c36,48,24,4,1.5,radius1,True,optimal,17,17,0,1773100,False
structural,d4_c36,48,24,4,1.5,explanation,True,optimal,8,8,0,1004400,False
structural,d4_c36,48,24,4,1.5,fullscope,True,optimal,24,24,0,2176800,True
structural,d4_c36,49,24,4,1.5,radius1,True,optimal,13,13,0,1043900,False
structural,d4_c36,49,24,4,1.5,explanation,True,optimal,7,7,0,745200,False
structural,d4_c36,49,24,4,1.5,fullscope,True,optimal,24,24,0,1883500,True
structural,d4_c36,50,24,4,1.5,radius1,True,optimal,19,19,0,1159000,False
structural,d4_c36,50,24,4,1.5,explanation,True,optimal,8,8,0,942000,False
structural,d4_c36,50,24,4,1.5,fullscope,True,optimal,24,24,0,3920000,True
structural,d4_c36,51,24,4,1.5,radius1,True,optimal,15,15,0,1091300,False
structural,d4_c36,51,24,4,1.5,explanation,True,optimal,7,7,0,749300,False
structural,d4_c36,51,24,4,1.5,fullscope,True,optimal,24,24,0,1644600,True
structural,d4_c48,42,24,4,2.0,radius1,True,optimal,20,20,0,1567500,False
structural,d4_c48,42,24,4,2.0,explanation,True,optimal,9,9,0,1152300,False
structural,d4_c48,42,24,4,2.0,fullscope,True,optimal,24,24,0,2784300,True
structural,d4_c48,43,24,4,2.0,radius1,True,optimal,17,17,0,1230700,False
structural,d4_c48,43,24,4,2.0,explanation,True,optimal,8,8,0,1031800,False
structural,d4_c48,43,24,4,2.0,fullscope,True,optimal,24,24,0,1446600,True
structural,d4_c48,44,24,4,2.0,radius1,True,optimal,19,19,0,1296700,False
structural,d4_c48,44,24,4,2.0,explanation,True,optimal,9,9,0,1012800,False
