method,scenario,seed,total_ms,verified,preferred_kept_frac,objective
qacm_like,S3,83,1.487,True,0.45,9.0
nswf_like,S3,83,2.851,True,0.45,4034.0
qacm_like,S3,84,2.037,True,0.55,11.0
nswf_like,S3,84,3.209,True,0.55,4101.0
qacm_like,S3,85,2.581,True,0.65,13.0
nswf_like,S3,85,3.95,True,0.6,4243.0
qacm_like,S3,86,1.501,True,0.55,11.0
nswf_like,S3,86,3.122,True,0.55,4173.0
qacm_like,S3,87,2.352,True,0.9,18.0
nswf_like,S3,87,3.031,True,0.9,4524.0
qacm_like,S3,88,1.697,True,0.7,14.0
nswf_like,S3,88,2.828,True,0.7,4272.0
qacm_like,S3,89,2.637,True,0.55,11.0
nswf_like,S3,89,5.054,True,0.5,4031.0
qacm_like,S3,90,2.001,True,0.7,14.0
nswf_like,S3,90,2.985,True,0.7,4312.0
qacm_like,S3,91,1.97,True,0.55,11.0
nswf_like,S3,91,2.839,True,0.55,4160.0
qacm_like,S4,42,3.952,True,0.75,18.0
nswf_like,S4,42,5.413,True,0.75,5148.0
qacm_like,S4,43,3.08,True,0.875,21.0
nswf_like,S4,43,4.238,True,0.875,5374.0
qacm_like,S4,44,3.084,True,0.75,18.0
nswf_like,S4,44,6.083,True,0.75,5205.0
qacm_like,S4,45,1.738,True,0.667,16.0
nswf_like,S4,45,2.886,True,0.625,5037.0
qacm_like,S4,46,2.907,True,0.708,17.0
nswf_like,S4,46,4.353,True,0.708,5213.0
qacm_like,S4,47,2.352,True,0.625,15.0
nswf_like,S4,47,3.524,True,0.625,4940.0
qacm_like,S4,48,2.257,True,0.583,14.0
nswf_like,S4,48,4.831,True,0.583,5013.0
qacm_like,S4,49,3.123,True,0.708,17.0
nswf_like,S4,49,4.343,True,0.708,5062.0
qacm_like,S4,50,2.36,True,0.708,17.0
nswf_like,S4,50,4.167,True,0.708,5182.0
qacm_like,S4,51,2.716,True,0.542,13.0
nswf_like,S4,51,3.993,True,0.5,4817.0
qacm_like,S4,52,3.408,True,0.667,16.0
nswf_like,S4,52,5.404,True,0.667,5128.0
qacm_like,S4,53,4.066,True,0.625,15.0
nswf_like,S4,53,5.745,True,0.583,5022.0
qacm_like,S4,54,3.319,True,0.708,17.0
nswf_like,S4,54,6.435,True,0.667,5136.0
qacm_like,S4,55,3.434,True,0.625,15.0
nswf_like,S4,55,5.235,True,0.625,5090.0
qacm_like,S4,56,2.091,True,0.5,12.0
nswf_like,S4,56,4.322,True,0.5,4973.0
qacm_like,S4,57,2.929,True,0.75,18.0
nswf_like,S4,57,5.332,True,0.708,5280.0
qacm_like,S4,58,3.264,True,0.708,17.0
nswf_like,S4,58,5.337,True,0.708,5118.0
qacm_like,S4,59,3.535,True,0.583,14.0
nswf_like,S4,59,4.631,True,0.542,4778.0
qacm_like,S4,60,3.099,True,0.75,18.0
nswf_like,S4,60,4.429,True,0.75,5232.0
qacm_like,S4,61,3.172,True,0.708,17.0
nswf_like,S4,61,5.253,True,0.708,5127.0
qacm_like,S4,62,2.468,True,0.625,15.0
nswf_like,S4,62,3.609,True,0.625,5061.0
qacm_like,S4,63,2.773,True,0.667,16.0
nswf_like,S4,63,4.06,True,0.667,5032.0
qacm_like,S4,64,1.346,True,0.542,13.0
nswf_like,S4,64,2.396,True,0.542,4833.0
qacm_like,S4,65,2.762,True,0.75,18.0
nswf_like,S4,65,5.03,True,0.708,5120.0
qacm_like,S4,66,2.55,True,0.708,17.0
nswf_like,S4,66,4.146,True,0.708,5194.0
qacm_like,S4,67,1.94,True,0.708,17.0
nswf_like,S4,67,3.069,True,0.708,5136.0
qacm_like,S4,68,3.316,True,0.625,15.0
nswf_like,S4,68,4.155,True,0.583,5022.0
qacm_like,S4,69,2.569,True,0.667,16.0
nswf_like,S4,69,4.133,True,0.667,5129.0
qacm_like,S4,70,2.373,True,0.708,17.0
nswf_like,S4,70,3.86,True,0.708,5130.0
qacm_like,S4,71,2.973,True,0.625,15.0
nswf_like,S4,71,4.453,True,0.625,5003.0
qacm_like,S4,72,2.843,True,0.583,14.0
nswf_like,S4,72,4.695,True,0.583,5015.0
qacm_like,S4,73,2.168,True,0.5,12.0
nswf_like,S4,73,3.419,True,0.5,4834.0
qacm_like,S4,74,2.007,True,0.75,18.0
nswf_like,S4,74,3.741,True,0.708,5053.0
qacm_like,S4,75,4.527,True,0.708,17.0
nswf_like,S4,75,6.788,True,0.708,5232.0
qacm_like,S4,76,1.575,True,0.625,15.0
nswf_like,S4,76,2.931,True,0.625,5073.0
qacm_like,S4,77,5.022,True,0.75,18.0
nswf_like,S4,77,4.043,True,0.75,5254.0
qacm_like,S4,78,3.543,True,0.75,18.0
nswf_like,S4,78,5.511,True,0.75,5165.0
qacm_like,S4,79,3.016,True,0.667,16.0
nswf_like,S4,79,4.673,True,0.667,5051.0
qacm_like,S4,80,3.401,True,0.583,14.0
nswf_like,S4,80,5.049,True,0.583,4951.0
qacm_like,S4,81,3.375,True,0.667,16.0
nswf_like,S4,81,5.13,True,0.625,5117.0
qacm_like,S4,82,2.141,True,0.75,18.0
nswf_like,S4,82,3.175,True,0.75,5168.0
qacm_like,S4,83,3.666,True,0.583,14.0
nswf_like,S4,83,4.981,True,0.542,5018.0
qacm_like,S4,84,3.247,True,0.75,18.0
nswf_like,S4,84,4.356,True,0.75,5205.0
qacm_like,S4,85,3.224,True,0.708,17.0
nswf_like,S4,85,4.026,True,0.708,5178.0
qacm_like,S4,86,3.493,True,0.708,17.0
nswf_like,S4,86,4.655,True,0.708,5169.0
qacm_like,S4,87,1.512,True,0.583,14.0
nswf_like,S4,87,3.108,True,0.583,4973.0
