method,n,delta,seed,epoch,changed_rels,violated_rels,total_ms,build_ms,solve_ms,verified
cpsat_hint,100,0.02,44,18,4,-1,3.096,1.155,1.935,True
incr_repair,100,0.02,44,18,4,2,1.344,0.0,0.0,True
cpsat_rebuild,100,0.02,44,19,4,-1,2.654,0.799,1.849,True
cpsat_hint,100,0.02,44,19,4,-1,2.823,0.93,1.888,True
incr_repair,100,0.02,44,19,4,1,1.161,0.0,0.0,True
cpsat_rebuild,100,0.02,44,20,4,-1,4.07,0.847,3.216,True
cpsat_hint,100,0.02,44,20,4,-1,3.038,1.01,2.023,True
incr_repair,100,0.02,44,20,4,0,0.063,0.0,0.0,True
cpsat_rebuild,100,0.02,44,21,4,-1,2.771,0.77,1.996,True
cpsat_hint,100,0.02,44,21,4,-1,2.964,0.996,1.962,True
incr_repair,100,0.02,44,21,4,1,0.795,0.0,0.0,True
cpsat_rebuild,100,0.02,44,22,4,-1,5.646,2.824,2.816,True
cpsat_hint,100,0.02,44,22,4,-1,2.973,0.996,1.971,True
incr_repair,100,0.02,44,22,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,44,23,4,-1,2.779,0.817,1.957,True
cpsat_hint,100,0.02,44,23,4,-1,2.81,0.949,1.856,True
incr_repair,100,0.02,44,23,4,1,3.982,0.0,0.0,True
cpsat_rebuild,100,0.02,44,24,4,-1,2.498,0.817,1.675,True
cpsat_hint,100,0.02,44,24,4,-1,2.571,0.993,1.572,True
incr_repair,100,0.02,44,24,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,44,25,4,-1,2.409,0.769,1.635,True
cpsat_hint,100,0.02,44,25,4,-1,2.59,0.987,1.597,True
incr_repair,100,0.02,44,25,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,44,26,4,-1,2.443,0.791,1.646,True
cpsat_hint,100,0.02,44,26,4,-1,2.751,0.979,1.767,True
incr_repair,100,0.02,44,26,4,1,0.936,0.0,0.0,True
cpsat_rebuild,100,0.02,44,27,4,-1,2.656,0.827,1.823,True
cpsat_hint,100,0.02,44,27,4,-1,2.688,0.961,1.721,True
incr_repair,100,0.02,44,27,4,0,0.054,0.0,0.0,True
cpsat_rebuild,100,0.02,44,28,4,-1,2.595,0.809,1.781,True
cpsat_hint,100,0.02,44,28,4,-1,2.686,0.933,1.748,True
incr_repair,100,0.02,44,28,4,1,0.724,0.0,0.0,True
cpsat_rebuild,100,0.02,44,29,4,-1,2.917,0.763,2.15,True
cpsat_hint,100,0.02,44,29,4,-1,2.955,1.003,1.946,True
incr_repair,100,0.02,44,29,4,0,0.06,0.0,0.0,True
cpsat_rebuild,100,0.02,44,30,4,-1,2.477,0.758,1.714,True
cpsat_hint,100,0.02,44,30,4,-1,2.677,0.967,1.704,True
incr_repair,100,0.02,44,30,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,45,1,4,-1,2.65,0.836,1.809,True
cpsat_hint,100,0.02,45,1,4,-1,2.758,1.055,1.697,True
incr_repair,100,0.02,45,1,4,2,4.214,0.0,0.0,True
cpsat_rebuild,100,0.02,45,2,4,-1,2.784,0.771,2.008,True
cpsat_hint,100,0.02,45,2,4,-1,3.041,0.957,2.079,True
incr_repair,100,0.02,45,2,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,45,3,4,-1,2.951,0.843,2.103,True
cpsat_hint,100,0.02,45,3,4,-1,3.044,0.96,2.079,True
incr_repair,100,0.02,45,3,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,45,4,4,-1,2.847,0.79,2.052,True
cpsat_hint,100,0.02,45,4,4,-1,2.944,0.941,1.998,True
incr_repair,100,0.02,45,4,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,45,5,4,-1,2.802,0.797,2.0,True
cpsat_hint,100,0.02,45,5,4,-1,2.949,1.011,1.931,True
incr_repair,100,0.02,45,5,4,1,0.737,0.0,0.0,True
cpsat_rebuild,100,0.02,45,6,4,-1,2.789,0.77,2.014,True
cpsat_hint,100,0.02,45,6,4,-1,2.918,1.033,1.88,True
incr_repair,100,0.02,45,6,4,0,0.05,0.0,0.0,True
cpsat_rebuild,100,0.02,45,7,4,-1,2.794,0.756,2.033,True
cpsat_hint,100,0.02,45,7,4,-1,2.995,1.011,1.979,True
incr_repair,100,0.02,45,7,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,45,8,4,-1,2.843,0.781,2.058,True
cpsat_hint,100,0.02,45,8,4,-1,2.972,1.031,1.936,True
incr_repair,100,0.02,45,8,4,0,0.06,0.0,0.0,True
cpsat_rebuild,100,0.02,45,9,4,-1,2.646,0.75,1.892,True
cpsat_hint,100,0.02,45,9,4,-1,2.84,0.998,1.837,True
incr_repair,100,0.02,45,9,4,2,0.782,0.0,0.0,True
cpsat_rebuild,100,0.02,45,10,4,-1,2.634,0.791,1.838,True
cpsat_hint,100,0.02,45,10,4,-1,2.918,1.037,1.876,True
incr_repair,100,0.02,45,10,4,1,0.781,0.0,0.0,True
cpsat_rebuild,100,0.02,45,11,4,-1,2.626,0.79,1.83,True
cpsat_hint,100,0.02,45,11,4,-1,2.717,0.959,1.754,True
incr_repair,100,0.02,45,11,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,45,12,4,-1,2.386,0.774,1.607,True
cpsat_hint,100,0.02,45,12,4,-1,2.475,0.92,1.551,True
incr_repair,100,0.02,45,12,4,2,0.952,0.0,0.0,True
cpsat_rebuild,100,0.02,45,13,4,-1,2.409,0.764,1.639,True
cpsat_hint,100,0.02,45,13,4,-1,2.566,0.991,1.569,True
incr_repair,100,0.02,45,13,4,0,0.053,0.0,0.0,True
cpsat_rebuild,100,0.02,45,14,4,-1,2.542,0.767,1.771,True
cpsat_hint,100,0.02,45,14,4,-1,2.669,0.947,1.717,True
incr_repair,100,0.02,45,14,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,15,4,-1,2.522,0.762,1.755,True
cpsat_hint,100,0.02,45,15,4,-1,2.753,1.052,1.695,True
incr_repair,100,0.02,45,15,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,16,4,-1,2.754,0.766,1.982,True
cpsat_hint,100,0.02,45,16,4,-1,2.929,1.148,1.774,True
incr_repair,100,0.02,45,16,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,17,4,-1,2.569,0.75,1.815,True
cpsat_hint,100,0.02,45,17,4,-1,2.666,0.913,1.748,True
incr_repair,100,0.02,45,17,4,0,0.05,0.0,0.0,True
cpsat_rebuild,100,0.02,45,18,4,-1,2.366,0.785,1.576,True
cpsat_hint,100,0.02,45,18,4,-1,2.615,0.939,1.671,True
incr_repair,100,0.02,45,18,4,1,0.699,0.0,0.0,True
cpsat_rebuild,100,0.02,45,19,4,-1,2.965,1.104,1.853,True
cpsat_hint,100,0.02,45,19,4,-1,2.526,0.96,1.561,True
incr_repair,100,0.02,45,19,4,0,0.063,0.0,0.0,True
cpsat_rebuild,100,0.02,45,20,4,-1,2.346,0.793,1.548,True
cpsat_hint,100,0.02,45,20,4,-1,2.446,0.942,1.499,True
incr_repair,100,0.02,45,20,4,1,0.97,0.0,0.0,True
cpsat_rebuild,100,0.02,45,21,4,-1,2.298,0.754,1.539,True
cpsat_hint,100,0.02,45,21,4,-1,2.767,1.033,1.729,True
incr_repair,100,0.02,45,21,4,0,0.052,0.0,0.0,True
cpsat_rebuild,100,0.02,45,22,4,-1,2.49,0.772,1.704,True
cpsat_hint,100,0.02,45,22,4,-1,2.468,0.97,1.492,True
incr_repair,100,0.02,45,22,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,23,4,-1,2.391,0.734,1.653,True
cpsat_hint,100,0.02,45,23,4,-1,2.524,0.96,1.559,True
incr_repair,100,0.02,45,23,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,24,4,-1,2.227,0.728,1.495,True
cpsat_hint,100,0.02,45,24,4,-1,2.596,1.102,1.488,True
incr_repair,100,0.02,45,24,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,25,4,-1,2.367,0.831,1.529,True
cpsat_hint,100,0.02,45,25,4,-1,2.379,0.957,1.417,True
incr_repair,100,0.02,45,25,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,26,4,-1,2.261,0.736,1.52,True
cpsat_hint,100,0.02,45,26,4,-1,2.388,0.975,1.408,True
incr_repair,100,0.02,45,26,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,27,4,-1,2.21,0.735,1.47,True
cpsat_hint,100,0.02,45,27,4,-1,2.356,0.94,1.411,True
incr_repair,100,0.02,45,27,4,0,0.05,0.0,0.0,True
cpsat_rebuild,100,0.02,45,28,4,-1,2.265,0.756,1.503,True
cpsat_hint,100,0.02,45,28,4,-1,2.457,0.989,1.463,True
incr_repair,100,0.02,45,28,4,0,0.051,0.0,0.0,True
cpsat_rebuild,100,0.02,45,29,4,-1,2.317,0.741,1.572,True
cpsat_hint,100,0.02,45,29,4,-1,2.443,0.939,1.499,True
incr_repair,100,0.02,45,29,4,1,0.784,0.0,0.0,True
cpsat_rebuild,100,0.02,45,30,4,-1,2.398,0.746,1.647,True
cpsat_hint,100,0.02,45,30,4,-1,2.431,0.909,1.517,True
incr_repair,100,0.02,45,30,4,0,0.054,0.0,0.0,True
cpsat_rebuild,100,0.02,46,1,4,-1,3.121,0.848,2.267,True
cpsat_hint,100,0.02,46,1,4,-1,5.042,0.968,4.069,True
incr_repair,100,0.02,46,1,4,1,6.17,0.0,0.0,True
cpsat_rebuild,100,0.02,46,2,4,-1,2.64,0.812,1.822,True
cpsat_hint,100,0.02,46,2,4,-1,2.829,0.969,1.854,True
