mu,scenario,episode,epoch,executed,churn,throughput,feasible
0.0,S1,5,78,True,0,9.9449,True
0.0,S1,5,79,True,0,12.118,True
0.0,S1,5,80,True,0,11.3365,True
0.0,S1,5,81,True,0,11.5754,True
0.0,S1,5,82,True,0,15.6075,True
0.0,S1,5,83,True,0,10.2958,True
0.0,S1,5,84,True,0,10.8987,True
0.0,S1,5,85,True,0,13.0374,True
0.0,S1,5,86,True,0,12.5415,True
0.0,S1,5,87,True,0,13.8008,True
0.0,S1,5,88,True,0,7.4604,True
0.0,S1,5,89,True,0,11.4247,True
0.0,S1,5,90,True,0,9.7764,True
0.0,S1,5,91,True,0,11.7223,True
0.0,S1,5,92,True,0,8.5812,True
0.0,S1,5,93,True,0,12.1156,True
0.0,S1,5,94,True,0,12.7891,True
0.0,S1,5,95,True,0,11.519,True
0.0,S1,5,96,True,0,15.1769,True
0.0,S1,5,97,True,0,17.7211,True
0.0,S1,5,98,True,0,13.3798,True
0.0,S1,5,99,True,0,9.1922,True
0.0,S1,6,0,True,0,12.8875,True
0.0,S1,6,1,True,1,11.3933,True
0.0,S1,6,2,True,0,8.9876,True
0.0,S1,6,3,True,0,18.1986,True
0.0,S1,6,4,True,1,14.5252,True
0.0,S1,6,5,True,0,12.3405,True
0.0,S1,6,6,True,8,12.0681,True
0.0,S1,6,7,True,0,12.0833,True
0.0,S1,6,8,True,4,12.8938,True
0.0,S1,6,9,True,0,10.7046,True
0.0,S1,6,10,True,3,14.0436,True
0.0,S1,6,11,True,0,14.9834,True
0.0,S1,6,12,True,0,11.6395,True
0.0,S1,6,13,True,0,9.3531,True
0.0,S1,6,14,True,0,13.1433,True
0.0,S1,6,15,True,0,10.4992,True
0.0,S1,6,16,True,0,12.0112,True
0.0,S1,6,17,True,0,6.7136,True
0.0,S1,6,18,True,0,9.3255,True
0.0,S1,6,19,True,0,12.0845,True
0.0,S1,6,20,True,0,11.1389,True
0.0,S1,6,21,True,0,11.3113,True
0.0,S1,6,22,True,0,6.7913,True
0.0,S1,6,23,True,0,9.2868,True
0.0,S1,6,24,True,0,8.6847,True
0.0,S1,6,25,True,0,10.0295,True
0.0,S1,6,26,True,0,10.6041,True
0.0,S1,6,27,True,0,17.107,True
0.0,S1,6,28,True,0,11.0146,True
0.0,S1,6,29,True,0,13.3421,True
0.0,S1,6,30,True,0,11.2993,True
0.0,S1,6,31,True,0,10.8512,True
0.0,S1,6,32,True,0,9.0388,True
