scenario,seed,decoder,direct_feasible,violations,kept_pref,decode_ms,repair_success,repair_core,repair_expansions,repair_ms,end2end_ms
S2,51,min_conflict,1,0,0.5,0.4664,1,0,0,0.0,0.4664
S2,52,utility,0,5,0.8333,0.132,1,8,0,0.9779,1.1099
S2,52,greedy_fc,0,3,0.6667,0.041,1,6,0,0.6733,0.7143
S2,52,fc_search,1,0,0.5556,1.1815,1,0,0,0.0,1.1815
S2,52,min_conflict,1,0,0.6111,0.4266,1,0,0,0.0,0.4266
S2,53,utility,0,8,0.7778,0.1333,1,12,0,1.432,1.5652
S2,53,greedy_fc,0,1,0.6111,0.0417,1,8,3,0.9361,0.9778
S2,53,fc_search,1,0,0.5556,0.1546,1,0,0,0.0,0.1546
S2,53,min_conflict,1,0,0.5,0.2761,1,0,0,0.0,0.2761
S2,54,utility,0,5,0.7778,0.1341,1,9,0,1.2306,1.3647
S2,54,greedy_fc,0,6,0.7222,0.0434,1,14,3,1.8616,1.905
S2,54,fc_search,1,0,0.5556,1.5352,1,0,0,0.0,1.5352
S2,54,min_conflict,1,0,0.6111,0.3547,1,0,0,0.0,0.3547
S2,55,utility,0,1,0.6667,0.143,1,2,0,0.4105,0.5535
S2,55,greedy_fc,0,7,0.8889,0.0371,1,8,0,0.9052,0.9422
S2,55,fc_search,1,0,0.6111,0.0951,1,0,0,0.0,0.0951
S2,55,min_conflict,0,1,0.7222,2.8683,1,4,1,0.5936,3.4619
S2,56,utility,0,7,0.7778,0.1805,1,10,0,0.8959,1.0765
S2,56,greedy_fc,0,4,0.6667,0.0437,1,15,2,1.5223,1.566
S2,56,fc_search,1,0,0.6111,0.1283,1,0,0,0.0,0.1283
S2,56,min_conflict,1,0,0.5,0.2686,1,0,0,0.0,0.2686
S2,57,utility,0,6,0.7222,0.1151,1,10,0,1.1431,1.2582
S2,57,greedy_fc,0,6,0.8333,0.0372,1,8,1,1.179,1.2162
S2,57,fc_search,1,0,0.6111,0.0894,1,0,0,0.0,0.0894
S2,57,min_conflict,0,1,0.5,2.8173,1,3,1,0.5307,3.348
S2,58,utility,0,9,0.6667,0.1407,1,12,0,1.0791,1.2198
S2,58,greedy_fc,0,4,0.6667,0.0398,1,6,0,0.5045,0.5443
S2,58,fc_search,1,0,0.3889,0.122,1,0,0,0.0,0.122
S2,58,min_conflict,0,2,0.5556,2.7685,1,7,3,0.8305,3.599
S2,59,utility,0,9,0.8333,0.1399,1,12,0,1.4419,1.5818
S2,59,greedy_fc,0,6,0.7778,0.0366,1,9,1,1.1189,1.1555
S2,59,fc_search,1,0,0.6111,1.3333,1,0,0,0.0,1.3333
S2,59,min_conflict,1,0,0.5,0.3064,1,0,0,0.0,0.3064
S2,60,utility,0,8,0.6667,0.1314,1,10,0,0.8549,0.9863
S2,60,greedy_fc,0,2,0.6667,0.0392,1,4,0,0.7221,0.7613
S2,60,fc_search,1,0,0.5,0.089,1,0,0,0.0,0.089
S2,60,min_conflict,1,0,0.5556,0.2652,1,0,0,0.0,0.2652
S2,61,utility,0,5,0.7778,0.1114,1,10,0,0.9766,1.0881
S2,61,greedy_fc,0,4,0.7222,0.0504,1,6,1,0.6418,0.6922
S2,61,fc_search,1,0,0.6111,0.0825,1,0,0,0.0,0.0825
S2,61,min_conflict,1,0,0.5556,0.2208,1,0,0,0.0,0.2208
S2,62,utility,0,3,0.6667,0.1458,1,5,0,0.5446,0.6905
S2,62,greedy_fc,0,5,0.8889,0.0366,1,13,2,1.2557,1.2924
S2,62,fc_search,1,0,0.5,0.1419,1,0,0,0.0,0.1419
S2,62,min_conflict,1,0,0.5,0.2416,1,0,0,0.0,0.2416
S2,63,utility,0,9,0.7778,0.1309,1,13,0,1.635,1.7659
S2,63,greedy_fc,0,6,0.7222,0.0407,1,13,2,1.9959,2.0366
S2,63,fc_search,1,0,0.4444,1.2703,1,0,0,0.0,1.2703
S2,63,min_conflict,0,2,0.5556,2.7699,1,4,0,0.519,3.2889
S2,64,utility,0,4,0.7778,0.1402,1,5,0,0.9375,1.0777
S2,64,greedy_fc,0,3,0.7778,0.0411,1,7,1,1.0299,1.071
S2,64,fc_search,1,0,0.6111,0.5552,1,0,0,0.0,0.5552
S2,64,min_conflict,0,1,0.7222,2.8654,1,3,1,0.506,3.3715
S2,65,utility,0,6,0.7222,0.163,1,9,0,1.072,1.235
S2,65,greedy_fc,0,5,0.7222,0.0477,1,8,0,8.4398,8.4875
