Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,10.892391204833984,False,False,False,False,0,14.284206019699454,3.8644079988676494e-05,0.026000000020000004,0.545077769350427,S1,0.6,3.0,10,18,
Uncoordinated,False,0.008344650268554688,False,False,False,False,0,13.33029248804975,4.320985458618921e-05,0.026000000020000004,0.6457631679302616,S1,0.6,3.0,10,19,
Static priority,False,0.08034706115722656,False,False,False,False,0,13.242897553650735,4.077657459874675e-05,0.03200000002,0.6387069725655325,S1,0.6,3.0,10,19,
Continuous only,True,18.892765045166016,False,False,False,False,0,11.103290580666796,4.8634231093641336e-05,0.03200000002,0.5167322401632263,S1,0.6,3.0,10,19,
CP-SAT,True,3.205537796020508,False,False,False,False,0,12.106622317881975,4.7577266794655394e-05,0.026000000020000004,0.5946839157939416,S1,0.6,3.0,10,19,
VeriXApp,True,18.876314163208008,False,False,False,False,0,11.103290580666796,4.8634231093641336e-05,0.03200000002,0.5167322401632263,S1,0.6,3.0,10,19,
Uncoordinated,False,0.009059906005859375,False,False,False,False,0,14.649914182199568,3.9317636460961045e-05,0.026000000020000004,0.4615050905294722,S1,0.6,3.0,10,20,
Static priority,False,0.1068115234375,False,False,False,False,0,14.448643542347321,3.9865333954139704e-05,0.026000000020000004,0.4616499575331634,S1,0.6,3.0,10,20,
Continuous only,True,11.640071868896484,False,False,False,False,0,14.19344201622454,3.889120055367882e-05,0.026000000020000004,0.4396985188016843,S1,0.6,3.0,10,20,
CP-SAT,True,4.6291351318359375,False,False,False,False,0,14.396047830178302,4.0010981263380946e-05,0.020000000020000002,0.4606313711459451,S1,0.6,3.0,10,20,
VeriXApp,True,11.685609817504883,False,False,False,False,0,14.19344201622454,3.889120055367882e-05,0.026000000020000004,0.4396985188016843,S1,0.6,3.0,10,20,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,10.981250000864932,5.136027318889715e-05,0.03200000002,0.5117125256642112,S1,0.6,3.0,10,21,
Static priority,False,0.12493133544921875,False,False,False,False,0,10.922544654354692,5.0537673909158526e-05,0.026000000020000004,0.5200324345038676,S1,0.6,3.0,10,21,
Continuous only,False,12.909650802612305,True,False,False,False,0,13.66223523116492,3.8646677579930656e-05,0.03800000002000001,0.5205016244138846,S1,0.6,3.0,10,21,
CP-SAT,True,4.291057586669922,False,False,False,False,0,13.932385027485232,4.048122406087429e-05,0.03200000002,0.512236349193999,S1,0.6,3.0,10,21,
VeriXApp,True,17.566680908203125,True,True,True,False,7,10.633250061768798,5.078409675904614e-05,0.03200000002,0.45301918265180047,S1,0.6,3.0,10,21,
Uncoordinated,False,0.008821487426757812,False,False,False,False,0,14.529885620260043,3.633889583162117e-05,0.026000000020000004,0.4156300601638681,S1,0.6,3.0,10,22,
Static priority,False,0.11968612670898438,False,False,False,False,0,17.728634790079276,3.045919814999953e-05,0.026000000020000004,0.540398314119267,S1,0.6,3.0,10,22,
Continuous only,True,10.935544967651367,False,False,False,False,0,14.533335375845693,3.6330270123507403e-05,0.03200000002,0.4568991784569884,S1,0.6,3.0,10,22,
CP-SAT,True,5.5599212646484375,False,False,False,False,0,12.650332872701297,4.173803213822098e-05,0.026000000020000004,0.3771460104738472,S1,0.6,3.0,10,22,
VeriXApp,True,10.401487350463867,False,False,False,False,0,14.533335375845693,3.6330270123507403e-05,0.03200000002,0.4568991784569884,S1,0.6,3.0,10,22,
Uncoordinated,False,0.01239776611328125,False,False,False,False,0,12.436610642474085,4.727976270253532e-05,0.03200000002,0.41635601909199904,S1,0.6,3.0,10,23,
Static priority,False,0.1392364501953125,False,False,False,False,0,12.793112298531284,4.596223235431971e-05,0.020000000020000002,0.4376981760765597,S1,0.6,3.0,10,23,
Continuous only,True,12.009859085083008,False,False,False,False,0,13.746770714942832,3.9281952918078164e-05,0.026000000020000004,0.528381925840793,S1,0.6,3.0,10,23,
CP-SAT,True,4.401206970214844,False,False,False,False,0,13.868715240596067,4.2397582602231596e-05,0.03200000002,0.4803922845107277,S1,0.6,3.0,10,23,
VeriXApp,True,11.925220489501953,False,False,False,False,0,13.746770714942832,3.9281952918078164e-05,0.026000000020000004,0.528381925840793,S1,0.6,3.0,10,23,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,14.667510827070291,3.845233227706805e-05,0.03200000002,0.5554695910411442,S1,0.6,3.0,10,24,
Static priority,True,0.13494491577148438,False,False,False,False,0,14.399345546619115,3.916844680016891e-05,0.03800000002000001,0.5401589194527723,S1,0.6,3.0,10,24,
Continuous only,True,9.619951248168945,False,False,False,False,0,12.786340685738697,4.41095708195121e-05,0.03800000002000001,0.6068364392790179,S1,0.6,3.0,10,24,
CP-SAT,True,4.224538803100586,False,False,False,False,0,14.851667810940363,3.797553292866771e-05,0.03200000002,0.5658295652158384,S1,0.6,3.0,10,24,
VeriXApp,True,9.74893569946289,False,False,False,False,0,12.786340685738697,4.41095708195121e-05,0.03800000002000001,0.6068364392790179,S1,0.6,3.0,10,24,
Uncoordinated,False,0.00858306884765625,False,False,False,False,0,11.110515120423955,4.860260700310309e-05,0.03200000002,0.4686051830104125,S1,0.6,3.0,10,25,
Static priority,True,0.13375282287597656,False,False,False,False,0,12.540402072427199,4.306082028959083e-05,0.03200000002,0.5210311127779647,S1,0.6,3.0,10,25,
Continuous only,True,8.810997009277344,False,False,False,False,0,12.170938483757848,4.436798367854965e-05,0.03800000002000001,0.49993076857074564,S1,0.6,3.0,10,25,
CP-SAT,True,3.8232803344726562,False,False,False,False,0,12.482845922414048,4.325936596160195e-05,0.03200000002,0.5161283809353358,S1,0.6,3.0,10,25,
VeriXApp,True,8.72349739074707,False,False,False,False,0,12.170938483757848,4.436798367854965e-05,0.03800000002000001,0.49993076857074564,S1,0.6,3.0,10,25,
Uncoordinated,False,0.007867813110351562,False,False,False,False,0,14.918824749801534,3.619588064449807e-05,0.03800000002000001,0.44305537210609425,S1,0.6,3.0,10,26,
Static priority,False,0.12493133544921875,False,False,False,False,0,15.918506585163838,3.467661975995085e-05,0.03800000002000001,0.4965469101053612,S1,0.6,3.0,10,26,
Continuous only,True,13.317108154296875,False,False,False,False,0,15.628546913300536,3.455215657576187e-05,0.026000000020000004,0.46967035532200196,S1,0.6,3.0,10,26,
CP-SAT,True,4.0760040283203125,False,False,False,False,0,15.194563370095212,3.553902714064078e-05,0.026000000020000004,0.4612737933708418,S1,0.6,3.0,10,26,
VeriXApp,True,13.289928436279297,False,False,False,False,0,15.628546913300536,3.455215657576187e-05,0.026000000020000004,0.46967035532200196,S1,0.6,3.0,10,26,
Uncoordinated,False,0.008106231689453125,False,False,False,False,0,13.507157538807688,4.2644057296665324e-05,0.03200000002,0.4352005809918685,S1,0.6,3.0,10,27,
Static priority,True,0.1404285430908203,False,False,False,False,0,16.321784687641397,3.381983101504616e-05,0.03200000002,0.4819974544085215,S1,0.6,3.0,10,27,
Continuous only,True,10.294437408447266,False,False,False,False,0,15.3593168789068,3.672038310340158e-05,0.03200000002,0.46215153374660106,S1,0.6,3.0,10,27,
CP-SAT,True,4.279136657714844,False,False,False,False,0,13.93587223333637,4.0471094349648285e-05,0.03200000002,0.44165722409840963,S1,0.6,3.0,10,27,
