Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Size,Load,Mobility,Cells,Seed,AblationConfig
Continuous only,True,52.98590660095215,False,False,False,False,0,13.374680008298775,4.007572515136217e-05,0.04400000002,0.4281849364028912,Scale,16,0.6,3.0,10,7,
CP-SAT,True,6.035566329956055,False,False,False,False,0,13.47304931788137,4.275201451504638e-05,0.04000000002,0.43998809465164623,Scale,16,0.6,3.0,10,7,
VeriXApp,True,52.611589431762695,False,False,False,False,0,13.374680008298775,4.007572515136217e-05,0.04400000002,0.4281849364028912,Scale,16,0.6,3.0,10,7,
Uncoordinated,False,0.011682510375976562,False,False,False,False,0,11.47777660461859,4.878993722309069e-05,0.04400000002,0.34166471240828045,Scale,16,0.6,3.0,10,8,
Static priority,False,0.2377033233642578,False,False,False,False,0,12.71822842038881,4.340227127192332e-05,0.04000000002,0.3933505813103946,Scale,16,0.6,3.0,10,8,
Continuous only,True,81.25662803649902,False,False,False,False,0,11.957056785270035,4.41580239587426e-05,0.036000000020000006,0.37274065435912934,Scale,16,0.6,3.0,10,8,
CP-SAT,True,6.143331527709961,False,False,False,False,0,12.049356134975573,4.647551236156862e-05,0.036000000020000006,0.37222998958583087,Scale,16,0.6,3.0,10,8,
VeriXApp,True,81.20131492614746,False,False,False,False,0,11.957056785270035,4.41580239587426e-05,0.036000000020000006,0.37274065435912934,Scale,16,0.6,3.0,10,8,
Uncoordinated,False,0.011682510375976562,False,False,False,False,0,14.227016017418293,4.161097444996251e-05,0.036000000020000006,0.4526264929434879,Scale,16,0.6,3.0,10,9,
Static priority,True,0.4093647003173828,False,False,False,False,0,12.915676180301384,4.5835772880625585e-05,0.04000000002,0.3954656865637184,Scale,16,0.6,3.0,10,9,
Continuous only,True,52.44135856628418,False,False,False,False,0,13.59615472376013,4.177651781259774e-05,0.04400000002,0.5141810447616522,Scale,16,0.6,3.0,10,9,
CP-SAT,True,5.733966827392578,False,False,False,False,0,12.915676180301384,4.5835772880625585e-05,0.04000000002,0.3954656865637184,Scale,16,0.6,3.0,10,9,
VeriXApp,True,52.69646644592285,False,False,False,False,0,13.59615472376013,4.177651781259774e-05,0.04400000002,0.5141810447616522,Scale,16,0.6,3.0,10,9,
Uncoordinated,False,0.01239776611328125,False,False,False,False,0,14.713862255978972,3.6971937791448726e-05,0.036000000020000006,0.5490488952293594,Scale,16,0.6,3.0,10,10,
Static priority,False,0.2503395080566406,False,False,False,False,0,13.558162686816724,4.0123430627437316e-05,0.04000000002,0.5090315426593344,Scale,16,0.6,3.0,10,10,
Continuous only,True,50.90498924255371,False,False,False,False,0,11.343918822208254,4.795520917647952e-05,0.036000000020000006,0.4573467589048488,Scale,16,0.6,3.0,10,10,
CP-SAT,True,5.860090255737305,False,False,False,False,0,13.358039324672283,4.132342977763635e-05,0.036000000020000006,0.4705380003614578,Scale,16,0.6,3.0,10,10,
VeriXApp,True,50.34375190734863,False,False,False,False,0,11.343918822208254,4.795520917647952e-05,0.036000000020000006,0.4573467589048488,Scale,16,0.6,3.0,10,10,
Uncoordinated,False,0.011920928955078125,False,False,False,False,0,11.014219766084961,5.156969917642177e-05,0.036000000020000006,0.6247330263453538,Scale,16,0.6,3.0,10,11,
Static priority,False,0.3287792205810547,False,False,False,False,0,8.979596105180011,6.50363327213694e-05,0.036000000020000006,0.5941556861843567,Scale,16,0.6,3.0,10,11,
Continuous only,True,37.19592094421387,False,False,False,False,0,8.725782936268876,6.142715260221592e-05,0.04000000002,0.5411980709162127,Scale,16,0.6,3.0,10,11,
CP-SAT,True,5.652189254760742,False,False,False,False,0,9.565385023852826,5.8544428541407364e-05,0.04000000002,0.6219175607983336,Scale,16,0.6,3.0,10,11,
VeriXApp,True,37.23907470703125,False,False,False,False,0,8.725782936268876,6.142715260221592e-05,0.04000000002,0.5411980709162127,Scale,16,0.6,3.0,10,11,
Uncoordinated,False,0.012159347534179688,False,False,False,False,0,14.532941799142716,3.688172755440458e-05,0.04400000002,0.3960928447043677,Scale,16,0.6,3.0,10,12,
Static priority,False,0.17142295837402344,False,False,False,False,0,14.336897478730812,3.7944053154250364e-05,0.036000000020000006,0.3835919992983434,Scale,16,0.6,3.0,10,12,
Continuous only,True,45.215606689453125,False,False,False,False,0,14.725538270251135,3.857244397968707e-05,0.036000000020000006,0.39358650216903673,Scale,16,0.6,3.0,10,12,
CP-SAT,True,5.136251449584961,False,False,False,False,0,13.870416477289677,3.9796930460148847e-05,0.04400000002,0.37334807471959724,Scale,16,0.6,3.0,10,12,
VeriXApp,True,44.667720794677734,False,False,False,False,0,14.725538270251135,3.857244397968707e-05,0.036000000020000006,0.39358650216903673,Scale,16,0.6,3.0,10,12,
