Method,Feasible,Latency_ms,Stall,RepairAttempted,Repaired,RepairTimeout,CoreSize,Throughput,Energy,HOF,Fairness,Scenario,Load,Mobility,Cells,Seed,AblationConfig
VeriXApp,True,57.546377182006836,False,False,False,False,0,10.660717845089266,5.2529295694469335e-05,0.04400000002,0.44373627245490244,AblationCfg,0.6,3.0,10,15,No exact repair
VeriXApp,True,57.477712631225586,False,False,False,False,0,10.660717845089266,5.2529295694469335e-05,0.04400000002,0.44373627245490244,AblationCfg,0.6,3.0,10,15,Repair radius h=0
VeriXApp,True,57.47389793395996,False,False,False,False,0,10.660717845089266,5.2529295694469335e-05,0.04400000002,0.44373627245490244,AblationCfg,0.6,3.0,10,15,Repair radius h=1
VeriXApp,True,57.97934532165527,False,False,False,False,0,10.660717845089266,5.2529295694469335e-05,0.04400000002,0.44373627245490244,AblationCfg,0.6,3.0,10,15,Repair radius h=2
VeriXApp,True,78.93824577331543,False,False,False,False,0,9.37531189842726,5.717143128751971e-05,0.036000000020000006,0.30540448290654754,AblationCfg,0.6,3.0,10,16,Full VeriXApp
VeriXApp,True,563.1158351898193,False,False,False,False,0,9.851629544860728,5.440724273677278e-05,0.03200000002,0.33351808079389844,AblationCfg,0.6,3.0,10,16,No polarization
VeriXApp,True,78.75275611877441,False,False,False,False,0,9.37531189842726,5.717143128751971e-05,0.036000000020000006,0.30540448290654754,AblationCfg,0.6,3.0,10,16,No exact repair
VeriXApp,True,79.16688919067383,False,False,False,False,0,9.37531189842726,5.717143128751971e-05,0.036000000020000006,0.30540448290654754,AblationCfg,0.6,3.0,10,16,Repair radius h=0
VeriXApp,True,79.02288436889648,False,False,False,False,0,9.37531189842726,5.717143128751971e-05,0.036000000020000006,0.30540448290654754,AblationCfg,0.6,3.0,10,16,Repair radius h=1
VeriXApp,True,78.85885238647461,False,False,False,False,0,9.37531189842726,5.717143128751971e-05,0.036000000020000006,0.30540448290654754,AblationCfg,0.6,3.0,10,16,Repair radius h=2
VeriXApp,True,50.72617530822754,True,True,True,False,2,14.414744983456387,3.8294121792201185e-05,0.036000000020000006,0.46786595933105796,AblationCfg,0.6,3.0,10,17,Full VeriXApp
VeriXApp,True,183.7441921234131,True,True,True,False,2,14.414744983456387,3.8294121792201185e-05,0.036000000020000006,0.46786595933105796,AblationCfg,0.6,3.0,10,17,No polarization
VeriXApp,False,47.257423400878906,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,17,No exact repair
VeriXApp,True,49.47209358215332,True,True,True,False,2,14.414744983456387,3.8294121792201185e-05,0.036000000020000006,0.46786595933105796,AblationCfg,0.6,3.0,10,17,Repair radius h=0
VeriXApp,True,50.98676681518555,True,True,True,False,2,14.414744983456387,3.8294121792201185e-05,0.036000000020000006,0.46786595933105796,AblationCfg,0.6,3.0,10,17,Repair radius h=1
VeriXApp,True,50.82583427429199,True,True,True,False,2,14.414744983456387,3.8294121792201185e-05,0.036000000020000006,0.46786595933105796,AblationCfg,0.6,3.0,10,17,Repair radius h=2
VeriXApp,True,55.54461479187012,True,True,True,False,2,12.826212414859569,3.804708546964626e-05,0.04400000002,0.5286206378809655,AblationCfg,0.6,3.0,10,18,Full VeriXApp
VeriXApp,True,329.4093608856201,False,False,False,False,0,10.548027849971367,4.626457257612613e-05,0.04400000002,0.4756769229905265,AblationCfg,0.6,3.0,10,18,No polarization
VeriXApp,False,52.78968811035156,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,18,No exact repair
VeriXApp,True,54.390907287597656,True,True,True,False,2,12.826212414859569,3.804708546964626e-05,0.04400000002,0.5286206378809655,AblationCfg,0.6,3.0,10,18,Repair radius h=0
VeriXApp,True,54.29816246032715,True,True,True,False,2,12.826212414859569,3.804708546964626e-05,0.04400000002,0.5286206378809655,AblationCfg,0.6,3.0,10,18,Repair radius h=1
VeriXApp,True,54.0316104888916,True,True,True,False,2,12.826212414859569,3.804708546964626e-05,0.04400000002,0.5286206378809655,AblationCfg,0.6,3.0,10,18,Repair radius h=2
VeriXApp,True,61.91134452819824,True,True,True,False,2,8.466720976790043,6.330668052831142e-05,0.036000000020000006,0.5007789582230678,AblationCfg,0.6,3.0,10,19,Full VeriXApp
VeriXApp,True,197.71718978881836,True,True,True,False,2,8.681850760514925,6.17379882222497e-05,0.036000000020000006,0.5074958999663747,AblationCfg,0.6,3.0,10,19,No polarization
VeriXApp,False,59.20839309692383,True,False,False,False,0,0.0,0.0,0.0,0.0,AblationCfg,0.6,3.0,10,19,No exact repair
VeriXApp,True,61.916351318359375,True,True,True,False,2,8.466720976790043,6.330668052831142e-05,0.036000000020000006,0.5007789582230678,AblationCfg,0.6,3.0,10,19,Repair radius h=0
VeriXApp,True,61.66863441467285,True,True,True,False,2,8.466720976790043,6.330668052831142e-05,0.036000000020000006,0.5007789582230678,AblationCfg,0.6,3.0,10,19,Repair radius h=1
VeriXApp,True,63.00473213195801,True,True,True,False,2,8.466720976790043,6.330668052831142e-05,0.036000000020000006,0.5007789582230678,AblationCfg,0.6,3.0,10,19,Repair radius h=2
VeriXApp,True,56.82229995727539,False,False,False,False,0,12.668418018815833,4.2941431139390974e-05,0.04000000002,0.3839536377600936,AblationCfg,0.6,3.0,10,20,Full VeriXApp
VeriXApp,True,140.4738426208496,False,False,False,False,0,13.269477668531602,4.039345130148696e-05,0.04000000002,0.39622730216238716,AblationCfg,0.6,3.0,10,20,No polarization
